레시피명,재료,조리도구,레시피,식사/간식,링크,기본 조리도구,추가 조리도구
치즈칩,파마산 치즈,오븐,"1. 파마산 치즈를 종이 호일 위에 올린다  
2. 오븐 200도 5-7분 돌려준다 (오븐 없으면 후라이팬에 앞 뒤로 약불로 구워준 후 잠시 식히기)",간식,,프라이팬,
전자레인지 라따뚜이,"애호박, 가지, 새송이버섯 각 1개, 베이컨, 계란 2개, 토마토소스, 모짜렐라치즈, 소금, 후추",전자레인지,"1. 잘 씻은 애호박, 가지, 새송이버섯 각 1개씩 비슷한 두께로 편 썰어주기
2. 베이컨도 적당한 크기로 썰어주고
3. 전자렌지용 그릇에 편 썰어둔 애호박, 가지, 새송이버섯 번갈아 놓고
4. 사이사이 베이컨 끼워넣기
5. 소금 , 후추 취향껏 뿌려주고 모짜렐라치즈 듬뿍 올려주기
6. 뚜껑덮고 전자렌지 7분~8분 돌려주면됨",식사,https://youtube.com/shorts/2fTY8WTpE0k?si=VwMa6-PVk8lLvfEh,,
전자레인지 당근케이크,"당근 1개, 알룰로스 1스푼, 아몬드 40g, 달걀 3개, 버터 1스푼, 호두",전자레인지,"1. 당근 1개, 알룰로스 1스푼, 아몬드 40g, 달걀 3개, 버터 넣고 믹서기에 갈아준다
2. 그릇에 오일을 살짝 바르고 간 것을 전부 부워준다
3. 기포를 빼준뒤 전자레인지에 8분 돌려준다",간식,https://youtube.com/shorts/GoTA6EyLYwc?si=fP5jfGDAO6brqtMx,믹서기,
만두 그라탕,"냉동 만두 200g(약 5~6개), 토마토소스 4큰술, 피자치즈 2줌, 양파 1/6개(생략 가능), 파슬리(생략 가능)",전자레인지,"1. 냉동만두를 전자레인지용 그릇에 담아 물 살짝 뿌리고 랩 씌운 뒤 구멍내서 2~3분 돌려 해동시켜요.
(*만두 크기와 양에 따라 시간 조절)
2. 그동안 양파를 얇게 채썰어주세요.
3. 해동 된 만두를 먹기 좋게 2~3등분으로 자르고 양파, 토마토소스, 치즈를 올린 뒤 전자레인지에 치즈가 녹을 때 까지 돌리면 완성입니다.
* 핫소스나 스리라차 뿌려서 더 매콤하게 먹어도 좋아요.
",식사,https://youtube.com/shorts/wApmbidCmV4?si=xkG7DTxZdFWETjxq,,
모닝 계란빵,"모닝빵, 계란 1개, 소금, 후추, 파슬리(생략가능)",전자레인지,"1. 모닝빵은 계란 1개가 들어갈 정도로 속을 파내고
2. 파낸 부분에 계란 1개를 넣어주고,
3. 소금과 후추 파슬리가루를 약간 뿌려 간을 맞춰준 뒤 노른자는 콕콕 찔러주고
(햄이나 치즈를 잘라서 넣어도 맛있어요)
4. 전자레인지 2분 ",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
엽기떡볶이,"떡 200g, 고춧가루 2.5스푼, 카레1, 설탕3, 후추약간, 고추장1, 어묵과 대파 약간, 치즈 선택",전자레인지,"1. 떡 200g 기준으로 양념 고춧가루 2.5스푼, 카레1, 설탕3, 후추약간, 고추장1
여기에 어묵과 대파 약간 넣고 잘 섞는다.
2. 매운걸 좋아하면 물은 2컵, 국물이 넉넉한게 좋다면 물 3컵 넣고
3. 전자렌지에 3분 
4. 3분 후 꺼내서 한번 휘휘 섞어준 뒤
5. 다시 전자렌지에 8분
6. 치즈 듬뿍 올려 치즈 녹을때까지 돌려주기 (약 1~2분)",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
콘치즈,"캔옥수수 1통,  마요네즈 2스푼, 설탕 2스푼, 소금과 후추 약간, 치즈",전자레인지,"1. 캔옥수수는 물기를 제거하고
2. 마요네즈 2스푼, 설탕 2스푼, 소금과 후추 약간 뿌려 잘섞는다.
3. 전자레인지 용기에 옮겨 담고, 그위에 치즈는 취향껏 덮어준다.
4. 전자렌지에 3분 ",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
전자레인지 마늘빵,"버터 5스푼, 설탕 1스푼, 다진마늘 1스푼, 바게트빵 or 식빵, 파슬리가루 (선택)",전자레인지,"1. 버터 5스푼(50g)은 전자렌지에 30초~1분 정도 녹여주고
2. 여기에 설탕 1스푼, 다진마늘 1스푼 듬뿍 넣고 파슬리가루 넣고 잘 섞어준다.
3. 바게트빵이나 식빵을 잘라서 발라주고
4. 전자렌지에 2분 
5. 2분후에 꺼내 그대로 식혀주고,
6. 딱딱하게 식었다면 다시 한번 전자렌지에 넣고, 1분 30초",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
라면땅 (일반맛),"라면 1개, 설탕 ",전자레인지,"1. 아무 라면이나 적당히 잘라주고,
2. 전자렌지에 30초~1분 정도 (바삭한걸 좋아하면 2~3분)
3. 라면 스프를 봉지에 담고, 설탕 1~2스푼 (원하는대로~)넣어 잘 섞어주고,
4. 전자렌지에서 꺼낸 라면을 넣고 한번 더 섞으면 라면땅 완성",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
라면땅 (고소한 맛),"라면 1개, 마요네즈, 설탕",전자레인지,"1. 라면에 마요네즈를 발라주고,
2. 설탕도 솔솔 뿌려주고,
3. 전자렌지에 1분 ( 바삭한걸 좋아하면 2~3분)
4. 스프 뿌려서 먹기",간식,https://youtu.be/cn6Tj1fqzGM?si=R4Wxbd99VG9xH0lC,,
전자레인지 초코케이크,"계란1개, 밀가루 아무거나 2스푼, 누텔라 2스푼, 베이킹파우더(생략가능), 초코칩",전자레인지,"1. 계란1개, 밀가루 아무거나 2스푼, 누텔라 2스푼, 베이킹파우더(생략가능), 초코칩 취향껏
넣는다
2. 전자레인지 1분 돌려주면 끝",간식,https://youtube.com/shorts/Lr7sOm30Rcg?si=1XX6281EzHcBmCwx,,
두부 새우 그라탕,"두부 150g, 계란 2알, 새우 5미, 토마토 소스 4T, 소금, 후추, 모짜렐라 치즈",전자레인지,"1.전자레인지 조리 가능 용기에 두부 150g, 계란 2알을 넣는다.
2.소금 후추로 간하고, 포크로 골고루 섞어준다.
3.토마토 소스 4T 넣고, 새우, 모짜렐라 치즈 순서로 올린다.
4.뚜껑 닫고 전자레인지 5분 돌려준다.
(전자레인지 사양에 따라 새우와 치즈가 녹을 때까지 익혀준다.)",식사,https://youtube.com/shorts/jkT2Ah2mjFE?si=ljdR5rZxyhwkTIAc,,
